Date,Original,Train,Test,Valid
2001-03-04,969.3299999999999,906.2172241210938,,
2001-03-11,965.1433333333334,958.5463256835938,,
2001-03-18,954.074,947.2288208007812,,
2001-03-25,997.4699999999999,920.537353515625,,
2001-04-01,629.8340000000001,963.3613891601562,,
2001-04-08,797.5020000000001,568.5905151367188,,
2001-04-15,1064.248,807.8168334960938,,
2001-04-22,636.4183333333334,1119.591064453125,,
2001-04-29,994.3650000000001,589.4163208007812,,
2001-05-06,1061.435,1041.5069580078125,,
2001-05-13,935.4699999999999,1037.7548828125,,
2001-05-20,1259.915,901.0551147460938,,
2001-05-27,1480.466666666667,1380.864501953125,,
2001-06-03,1845.6825,1455.2972412109375,,
2001-06-10,2535.55,1904.4361572265625,,
2001-06-17,4288.23,2660.003662109375,,
2001-06-24,4346.25,4434.9296875,,
2001-07-01,6100.04,4404.37060546875,,
2001-07-08,8881.975,6270.8359375,,
2001-07-15,11663.91,9283.7890625,,
2001-07-22,18959.93,12006.9384765625,,
2001-07-29,35127.75,19997.2109375,,
2001-08-05,39868.76,36814.54296875,,
2001-08-12,42896.52,40513.9921875,,
2001-08-19,31532.66,43256.484375,,
2001-08-26,22085.94,31185.45703125,,
2001-09-02,47829.479999999996,22170.375,,
2001-09-09,41922.66,54297.72265625,,
2001-09-16,42145.49,44053.77734375,,
2001-09-23,41779.16,41927.828125,,
2001-09-30,26501.65,40903.69921875,,
2001-10-07,18723.93,21378.568359375,,
2001-10-14,30240.8,21985.654296875,,
2001-10-21,28491.05,32994.1484375,,
2001-10-28,17778.85,27979.498046875,,
2001-11-04,10576.43,16339.9853515625,,
2001-11-11,8425.86,7324.4970703125,,
2001-11-18,6373.33,5440.9267578125,,
2001-11-25,5573.83,7777.5,,
2001-12-02,4527.463333333334,6341.390625,,
2001-12-09,3858.373333333333,2452.436279296875,,
2001-12-16,3370.4375,1521.635009765625,,
2001-12-23,2789.6225,2363.74169921875,,
2001-12-30,2448.6580000000004,2180.813232421875,,
2002-01-06,2190.115,2116.756591796875,,
2002-01-13,1863.363333333333,1930.8460693359375,,
2002-01-20,1698.0333333333335,1631.9686279296875,,
2002-01-27,1590.4483333333335,1553.294921875,,
2002-02-03,1606.1516666666666,1450.7125244140625,,
2002-02-10,1590.908333333333,1505.81884765625,,
2002-02-17,1490.8533333333335,1528.9407958984375,,
2002-02-24,1502.2475,1406.2086181640625,,
2002-03-03,1523.4783333333332,1454.7921142578125,,
2002-03-10,1417.6916666666666,1503.5064697265625,,
2002-03-17,1173.9640000000002,1408.0269775390625,,
2002-03-24,1034.0733333333333,1158.689453125,,
2002-03-31,994.9975000000001,1011.3086547851562,,
2002-04-07,1065.0420000000001,1000.3820190429688,,
2002-04-14,1389.1850000000002,1089.30078125,,
2002-04-21,1145.1283333333333,1417.2794189453125,,
2002-04-28,1225.9950000000001,1079.63525390625,,
2002-05-05,1299.6680000000001,1179.9947509765625,,
2002-05-12,1267.6783333333333,1314.4912109375,,
2002-05-19,1415.8950000000002,1267.2197265625,,
2002-05-26,1620.5125,1511.7158203125,,
2002-06-02,2699.2875,1634.1163330078125,,
2002-06-09,2750.0,2798.79150390625,,
2002-06-16,2558.0,2793.701416015625,,
2002-06-23,2570.0,2500.23583984375,,
2002-06-30,6264.0,2618.94482421875,,
2002-07-07,6758.0,6657.55322265625,,
2002-07-14,16339.0,7076.76611328125,,
2002-07-21,19157.0,17203.1484375,,
2002-07-28,16617.0,19581.501953125,,
2002-08-04,39750.0,15867.0283203125,,
2002-08-11,40054.31,42694.8671875,,
2002-08-18,38207.155,40713.125,,
2002-08-25,36360.0,38677.88671875,,
2002-09-01,40980.0,38073.65625,,
2002-09-08,30385.235,40599.31640625,,
2002-09-15,19790.47,33603.8125,,
2002-09-22,32840.11,20456.24609375,,
2002-09-29,28538.54,34216.84765625,,
2002-10-06,29325.25,27868.626953125,,
2002-10-13,17129.52,29459.70703125,,
2002-10-20,11611.16,15098.720703125,,
2002-10-27,9429.7,7476.63623046875,,
2002-11-03,7560.54,11375.52734375,,
2002-11-10,633.42,7602.9306640625,,
2002-11-17,5491.62,3.0094361305236816,,
2002-11-24,3821.06,3784.744873046875,,
2002-12-01,3689.0550000000003,1944.80615234375,,
2002-12-08,3439.9325,2428.23974609375,,
2002-12-15,3190.81,3242.044677734375,,
2002-12-22,2334.69,1527.7215576171875,,
2002-12-29,1957.95,2629.552978515625,,
2003-01-05,1704.75,2030.5577392578125,,
2003-01-12,1420.17,1551.8262939453125,,
2003-01-19,1399.19,1342.2412109375,,
2003-01-26,1306.1425,1357.6480712890625,,
2003-02-02,1213.095,1137.8653564453125,,
2003-02-09,1209.87,1066.6627197265625,,
2003-02-16,1255.84,1147.6864013671875,,
2003-02-23,1301.81,1195.9232177734375,,
2003-03-02,1308.02,1287.8531494140625,,
2003-03-09,1422.91,1299.31787109375,,
2003-03-16,1205.75,1416.552490234375,,
2003-03-23,988.59,1186.740234375,,
2003-03-30,985.18,976.5020141601562,,
2003-04-06,1074.47,1016.6176147460938,,
2003-04-13,1066.3,1099.6414794921875,,
2003-04-20,898.7,1099.5965576171875,,
2003-04-27,920.945,862.4602661132812,,
2003-05-04,943.19,872.91357421875,,
2003-05-11,1260.12,941.0687866210938,,
2003-05-18,1420.12,1312.5697021484375,,
2003-05-25,1374.91,1459.4420166015625,,
2003-06-01,1389.05,1335.125732421875,,
2003-06-08,1762.64,1388.3150634765625,,
2003-06-15,1745.53,1811.45361328125,,
2003-06-22,2867.38,1814.3741455078125,,
2003-06-29,4519.39,3025.521240234375,,
2003-07-06,7188.27,4714.4677734375,,
2003-07-13,16809.93,7409.08642578125,,
2003-07-20,26031.79,17790.9453125,,
2003-07-27,27146.47,26953.806640625,,
2003-08-03,27083.71,27155.35546875,,
2003-08-10,27102.27,27216.732421875,,
2003-08-17,27087.11,27641.068359375,,
2003-08-24,27063.53,28909.2421875,,
2003-08-31,42125.435,29591.416015625,,
2003-09-07,40585.68,44546.23828125,,
2003-09-14,41062.04,40684.32421875,,
2003-09-21,57252.69,40351.1953125,,
2003-09-28,57099.7,59170.90234375,,
2003-10-05,49335.47,56784.19140625,,
2003-10-12,41571.24,50701.8046875,,
2003-10-19,34996.78,42042.26171875,,
2003-10-26,20629.43,34083.7890625,,
2003-11-02,12503.51,22413.71484375,,
2003-11-09,12141.12,13190.75390625,,
2003-11-16,11414.45,11177.66015625,,
2003-11-23,10906.77,9372.0986328125,,
2003-11-30,6314.56,9107.68359375,,
2003-12-07,5498.216666666667,2786.820556640625,,
2003-12-14,4773.954,2570.935791015625,,
2003-12-21,4064.2186666666666,4132.07421875,,
2003-12-28,3354.4833333333336,3761.157470703125,,
2004-01-04,2697.67,3253.176513671875,,
2004-01-11,2404.42,1747.3775634765625,,
2004-01-18,2353.27,1852.5179443359375,,
2004-01-25,2223.955,2173.686279296875,,
2004-02-01,2137.25,2036.2144775390625,,
2004-02-08,2322.42,1950.2501220703125,,
2004-02-15,2271.915,2172.019775390625,,
2004-02-22,1759.2199999999998,2166.544677734375,,
