,Model,Neuron,Test_RMSE,Train_RMSE,Conv_Layer,Dilation_Rate
0,MLP,5.0,5438.444941765558,4737.102997083687,,
1,MLP,10.0,4751.632869138452,4624.363661431415,,
2,MLP,15.0,4784.696429563418,4489.74280638619,,
3,MLP,20.0,4647.665133409215,4475.830662761391,,
4,MLP,25.0,4899.503930933291,4560.526470421321,,
5,MLP,30.0,4541.300897997605,4575.0631639745525,,
6,RNN,5.0,6244.547480063646,5842.027169529076,,
7,RNN,10.0,16522.92981097667,17066.68859135867,,
8,RNN,15.0,4627.966876876016,4427.320603183694,,
9,RNN,20.0,16522.929894776298,17066.688660082647,,
10,RNN,25.0,4847.779128711335,4356.374020104665,,
11,RNN,30.0,5781.787722601961,4750.810028042055,,
12,LSTM,5.0,16522.297772776878,17066.009439713896,,
13,LSTM,10.0,10324.797781592104,9254.170321400115,,
14,LSTM,15.0,5926.160619853945,6302.87846687433,,
15,LSTM,20.0,16522.297661039764,17066.009356074785,,
16,LSTM,25.0,7198.506597258159,6658.542505175039,,
17,LSTM,30.0,5939.863246289041,5516.425633291439,,
18,GRU,5.0,8673.77295245669,8196.081579719103,,
19,GRU,10.0,13907.090565607172,14597.762591024024,,
20,GRU,15.0,6621.407972513213,6186.712768032435,,
21,GRU,20.0,6828.35130455819,6347.448857339631,,
22,GRU,25.0,7927.340765690889,7074.740110275369,,
23,GRU,30.0,5786.724727937478,5483.897002058295,,
24,CNN,,7909.654976429367,6726.348930614306,1.0,
25,CNN,,7652.945496292965,6798.688048120533,2.0,
26,WaveNet,,5229.024147817788,4600.999095301522,1.0,2.0
27,WaveNet,,5112.007042248671,4386.725817863079,2.0,4.0
28,WaveNet,,4664.566069355714,4313.173368440465,3.0,8.0
29,WaveNet,,4818.617117293812,4359.209165242558,4.0,16.0
30,WaveNet,,4989.332898217032,4439.386711098475,5.0,32.0
