,Model,Neuron,Test_RMSE,Train_RMSE
0,MLP,5.0,4559.734253390044,4650.853630357516
1,MLP,10.0,4575.250543791186,4539.891501276324
2,MLP,15.0,4580.1966870766255,4490.834390337552
3,MLP,20.0,4584.094189527691,4484.327956637791
4,MLP,25.0,4578.838801402684,4622.731164184316
5,MLP,30.0,4576.659194720029,4663.098150654596
6,RNN,5.0,6865.068367635365,4911.660729922666
7,RNN,10.0,4668.969808953906,4346.150274695427
8,RNN,15.0,5013.248327029247,4561.08302455091
9,RNN,20.0,16522.929783043463,17066.688587468634
10,RNN,25.0,16522.930118241973,17066.688538843177
11,RNN,30.0,4992.69712834502,3422.4625011711296
12,LSTM,5.0,16522.29399233747,17066.006025422324
13,LSTM,10.0,12595.911229137322,12317.87218876071
14,LSTM,15.0,9548.059408148782,9193.220846799883
15,LSTM,20.0,7577.49556759508,7877.709261683771
16,LSTM,25.0,16522.294197188887,17066.005536554843
17,LSTM,30.0,16522.29628294864,17066.00803535478
18,GRU,5.0,16522.295091085954,17066.005949563576
19,GRU,10.0,4906.362251043184,4649.193473088367
20,GRU,15.0,4785.025075541161,4723.852839879266
21,GRU,20.0,4920.270442848567,4750.140674920614
22,GRU,25.0,4876.271242534528,4799.459751178375
23,GRU,30.0,6181.57032575928,6228.811424731736
24,WaveNet,5.0,4858.015588852969,4276.767661125348
25,WaveNet,10.0,4824.051289751576,4383.718007722552
26,WaveNet,15.0,5030.355301719597,4250.81639477995
27,WaveNet,20.0,4925.718369611764,4445.767233049481
28,WaveNet,25.0,4765.369369814814,4205.563033174365
29,WaveNet,30.0,4996.030002758344,4000.7947944817
